Age,Income,Loan_Amount,Credit_Score,Employment_Years,Debt_to_Income,Default
60,48244,31040,687,24,0.4487062146823213,1
50,88027,30282,344,29,0.38341891566773334,0
36,139313,31201,568,9,0.32696728537505537,0
64,148351,11833,610,20,0.19474852921990712,0
29,63985,9752,577,13,0.2388090281408283,0
42,128976,29507,774,24,0.2780505245122964,0
60,26502,25169,444,16,0.49274134291615224,1
40,78836,49746,534,28,0.5945947167867847,1
44,124714,46495,435,27,0.1919885273381349,0
32,28770,29930,744,13,0.27076133444665174,0
32,67865,10023,652,19,0.2401007732723062,0
45,78811,5982,693,22,0.1220336972961378,0
57,29001,19305,574,12,0.2096094284673277,0
61,85848,21146,683,1,0.5508069716924032,0
45,77635,16201,622,8,0.5214290894361981,0
24,45946,21910,482,2,0.18379865755737815,0
43,91134,28031,739,3,0.2830815063081452,0
23,120852,28636,362,11,0.25540152763598034,0
45,116103,22314,333,29,0.17387040402707823,0
51,117044,32332,776,14,0.4111041048189137,0
59,68744,23330,386,19,0.3786488801826433,0
23,142729,20365,509,7,0.3134956663691858,0
42,147848,48501,761,17,0.5277491640541103,0
54,64159,15108,380,4,0.40985567000645373,0
33,120812,8360,621,1,0.22963684128370324,0
43,48671,47553,714,27,0.28685236859993435,0
46,41450,45880,489,21,0.17507836489156656,0
48,39908,8625,532,8,0.39568663655508196,0
63,82275,43237,691,27,0.3933145439853072,0
49,69358,6223,468,24,0.5350918429862006,1
37,74047,44878,742,13,0.5279083505210063,0
36,60518,14157,467,0,0.5184710167299739,1
24,82813,42760,530,19,0.3744761598507651,0
58,121748,18646,449,3,0.42600990537872163,1
28,133220,49638,849,16,0.4877709719841391,0
42,31806,34024,685,9,0.1458424154778429,0
30,129733,9787,680,1,0.2502989475889279,0
60,65891,28202,574,5,0.18454497140983592,0
39,108551,48908,361,25,0.3557338471730529,0
25,64220,41067,766,18,0.5188339783163038,0
46,42158,14360,827,8,0.21535598482487897,0
35,105992,37692,449,18,0.4654517675853638,1
30,52588,44219,441,18,0.3029119981932442,0
